1	Rv0001	chr	+	0	1524	0	1524	1	0,	1524,	0	dnaA	a	a	0
2	Rv0002	chr	+	2051	3260	2051	3260	1	2051,	3260,	0	dnaN	a	a	0
3	Rv0003	chr	+	3279	4437	3279	4437	1	3279,	4437,	0	recF	a	a	0
4	Rv0004	chr	+	4433	4997	4433	4997	1	4433,	4997,	0	-	a	a	0
5	Rv0005	chr	+	5122	7267	5122	7267	1	5122,	7267,	0	gyrB	a	a	0
6	Rv0006	chr	+	7301	9818	7301	9818	1	7301,	9818,	0	gyrA	a	a	0
7	Rv0007	chr	+	9913	10828	9913	10828	1	9913,	10828,	0	-	a	a	0
8	Rv0008c	chr	-	11873	12311	11873	12311	1	11873,	12311,	0	-	a	a	0
9	Rv0009	chr	+	12467	13016	12467	13016	1	12467,	13016,	0	ppiA	a	a	0
10	Rv0010c	chr	-	13132	13558	13132	13558	1	13132,	13558,	0	-	a	a	0
11	Rv0011c	chr	-	13713	13995	13713	13995	1	13713,	13995,	0	-	a	a	0
12	Rv0012	chr	+	14088	14877	14088	14877	1	14088,	14877,	0	-	a	a	0
13	Rv0013	chr	+	14913	15612	14913	15612	1	14913,	15612,	0	trpG	a	a	0
14	Rv0014c	chr	-	15589	17470	15589	17470	1	15589,	17470,	0	pknB	a	a	0
15	Rv0015c	chr	-	17466	18762	17466	18762	1	17466,	18762,	0	pknA	a	a	0
16	Rv0016c	chr	-	18758	20234	18758	20234	1	18758,	20234,	0	pbpA	a	a	0
17	Rv0017c	chr	-	20230	21640	20230	21640	1	20230,	21640,	0	rodA	a	a	0
18	Rv0018c	chr	-	21636	23181	21636	23181	1	21636,	23181,	0	ppp	a	a	0
19	Rv0019c	chr	-	23269	23737	23269	23737	1	23269,	23737,	0	-	a	a	0
20	Rv0020c	chr	-	23860	25444	23860	25444	1	23860,	25444,	0	TB39.8	a	a	0
21	Rv0021c	chr	-	25912	26881	25912	26881	1	25912,	26881,	0	-	a	a	0
22	Rv0022c	chr	-	27022	27442	27022	27442	1	27022,	27442,	0	whiB5	a	a	0
23	Rv0023	chr	+	27594	28365	27594	28365	1	27594,	28365,	0	-	a	a	0
24	Rv0024	chr	+	28361	29207	28361	29207	1	28361,	29207,	0	-	a	a	0
25	Rv0025	chr	+	29244	29607	29244	29607	1	29244,	29607,	0	-	a	a	0
26	Rv0026	chr	+	29721	31068	29721	31068	1	29721,	31068,	0	-	a	a	0
27	Rv0027	chr	+	31188	31506	31188	31506	1	31188,	31506,	0	-	a	a	0
28	Rv0028	chr	+	31513	31819	31513	31819	1	31513,	31819,	0	-	a	a	0
29	Rv0029	chr	+	32056	33154	32056	33154	1	32056,	33154,	0	-	a	a	0
30	Rv0030	chr	+	33223	33553	33223	33553	1	33223,	33553,	0	-	a	a	0
31	Rv0031	chr	+	33581	33794	33581	33794	1	33581,	33794,	0	-	a	a	0
32	Rv0032	chr	+	34294	36610	34294	36610	1	34294,	36610,	0	bioF2	a	a	0
33	Rv0033	chr	+	36606	36870	36606	36870	1	36606,	36870,	0	acpA	a	a	0
34	Rv0034	chr	+	36866	37262	36866	37262	1	36866,	37262,	0	-	a	a	0
35	Rv0035	chr	+	37258	38947	37258	38947	1	37258,	38947,	0	fadD34	a	a	0
36	Rv0036c	chr	-	39055	39829	39055	39829	1	39055,	39829,	0	-	a	a	0
37	Rv0037c	chr	-	39876	41202	39876	41202	1	39876,	41202,	0	-	a	a	0
38	Rv0038	chr	+	41303	41912	41303	41912	1	41303,	41912,	0	-	a	a	0
39	Rv0039c	chr	-	42003	42351	42003	42351	1	42003,	42351,	0	-	a	a	0
40	Rv0040c	chr	-	42432	43365	42432	43365	1	42432,	43365,	0	mtc28	a	a	0
41	Rv0041	chr	+	43561	46471	43561	46471	1	43561,	46471,	0	leuS	a	a	0
42	Rv0042c	chr	-	46580	47207	46580	47207	1	46580,	47207,	0	-	a	a	0
43	Rv0043c	chr	-	47365	48100	47365	48100	1	47365,	48100,	0	-	a	a	0
44	Rv0044c	chr	-	48232	49027	48232	49027	1	48232,	49027,	0	-	a	a	0
45	Rv0045c	chr	-	49042	49939	49042	49939	1	49042,	49939,	0	-	a	a	0
46	Rv0046c	chr	-	50020	51124	50020	51124	1	50020,	51124,	0	ino1	a	a	0
47	Rv0047c	chr	-	51184	51727	51184	51727	1	51184,	51727,	0	-	a	a	0
48	Rv0048c	chr	-	51827	52697	51827	52697	1	51827,	52697,	0	-	a	a	0
49	Rv0049	chr	+	52830	53244	52830	53244	1	52830,	53244,	0	-	a	a	0
